序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/NvoNwg9wRijPRpkWtPwci3I6nzb?from=from_copylink,如何在 2026 年成为一名 AI 工程师（路线图）,如何在 2026 年成为一名 AI 工程师（路线图）,20260508,NvoNwg9wRijPRpkWtPwci3I6nzb,否
2,https://waytoagi.feishu.cn/wiki/JbDxwmNVKioHl3kl7EocfuqZnwc?from=from_copylink,Anthropic 工程负责人：工程师的变化才真正开始丨Sequoia,Anthropic 工程负责人：工程师的变化才真正开始丨Sequoia,20260508,JbDxwmNVKioHl3kl7EocfuqZnwc,否
3,https://waytoagi.feishu.cn/wiki/Lo1bw5ILwiptq6k4amecsXAhnqe?from=from_copylink,会让 AI 反问你，才是 AI 视频高手的分水岭,会让 AI 反问你，才是 AI 视频高手的分水岭,20260508,Lo1bw5ILwiptq6k4amecsXAhnqe,否
4,https://waytoagi.feishu.cn/wiki/LY22w9O05iG2iSkqo1Ec4cd4nNg?from=from_copylink,Autobrowse：浏览器智能体迎来封神时刻,Autobrowse：浏览器智能体迎来封神时刻,20260508,LY22w9O05iG2iSkqo1Ec4cd4nNg,否
5,https://waytoagi.feishu.cn/wiki/VbxYwFG6uizL9lk5Zlkcnt7YnW2?from=from_copylink,写好 CLAUDE.md 的 8 条经验：让 Claude Code 更懂你的项目,写好 CLAUDE.md 的 8 条经验：让 Claude Code 更懂你的项目,20260508,VbxYwFG6uizL9lk5Zlkcnt7YnW2,否
6,https://waytoagi.feishu.cn/wiki/Otqtw0HFbiNeCMkjKalcFkoJnpf?from=from_copylink,《GEO红皮书：生成式引擎优化的伦理边界、作弊风险与治理手册》,《GEO红皮书：生成式引擎优化的伦理边界、作弊风险与治理手册》,20260508,Otqtw0HFbiNeCMkjKalcFkoJnpf,否
7,https://waytoagi.feishu.cn/wiki/Sl3dwM50OigRTfkhFk3ciKagnfe?from=from_copylink,GPT-Realtime-2 语音模型发布：语音首次接入 GPT-5 推理能力,GPT-Realtime-2 语音模型发布：语音首次接入 GPT-5 推理能力,20260508,Sl3dwM50OigRTfkhFk3ciKagnfe,否
8,https://waytoagi.feishu.cn/wiki/Y6cWwjhU1iCTzXk3AjjcaPkJnaf?from=from_copylink,使用 Claude Code：HTML 难以置信的奇效【译】,使用 Claude Code：HTML 难以置信的奇效【译】,20260509,Y6cWwjhU1iCTzXk3AjjcaPkJnaf,否
9,https://waytoagi.feishu.cn/wiki/TVGTwKvKmin6FHkRddncgyABnVf?from=from_copylink,第一性原理思维：如何看见别人看不见的东西（译）,第一性原理思维：如何看见别人看不见的东西（译）,20260509,TVGTwKvKmin6FHkRddncgyABnVf,否
10,https://waytoagi.feishu.cn/wiki/J7hzwSO53i3TODk2u5TcFzFgnqh?from=from_copylink,元子：WayToAGI知识库活了！AI帮你5分钟在WayToAGI定制学习路径 — Study Reviver,元子：WayToAGI知识库活了！AI帮你5分钟在WayToAGI定制学习路径 — Study Reviver,20260509,J7hzwSO53i3TODk2u5TcFzFgnqh,否
11,https://waytoagi.feishu.cn/wiki/FGqAww00Cixz9vkLtYEcBm3tnXg?from=from_copylink,对话大M博士：出海欧洲——国家差异拆解与避坑指南,对话大M博士：出海欧洲——国家差异拆解与避坑指南,20260509,FGqAww00Cixz9vkLtYEcBm3tnXg,否
12,https://waytoagi.feishu.cn/wiki/DNYewc8mIi89dIk1eGqcgcwHnuv?from=from_copylink,Anthropic负责人：AI Agent 正在重写企业工作流丨Every,Anthropic负责人：AI Agent 正在重写企业工作流丨Every,20260509,DNYewc8mIi89dIk1eGqcgcwHnuv,否
13,https://waytoagi.feishu.cn/wiki/MmyUwGC48i482wkhCkIcQyxyneg?from=from_copylink,万字实录| 红杉AI峰会2026主旨演讲：从软件时代到智能体时代的范式跃迁 | 全文图解,万字实录| 红杉AI峰会2026主旨演讲：从软件时代到智能体时代的范式跃迁 | 全文图解,20260509,MmyUwGC48i482wkhCkIcQyxyneg,否
