链接,标题,日期,星期,来源,精选日期,异常信息
https://mp.weixin.qq.com/s/sZXl5kHA9LErEwnegpvgXg,万字长文：做了些爆款 Skills 以后，我对 Skills 的看法,20260612,周五,微信-歸藏的AI工具箱,20260612,
https://waytoagi.feishu.cn/wiki/Xy4owLxvIi69wzkix2ocoaj7nWd,万字长文：做了些爆款 Skills 以后，我对 Skills 的看法,20260612,周五,飞书-通往AGI之路,20260612,
https://mp.weixin.qq.com/s?__biz=MzU0MDk3NTUxMA==&mid=2247496799&idx=1&sn=db767c5f51aa66dda3d6f45aac516b98,压进我十年设计经验的 PPT Skills，迎来大波更新,20260511,周一,微信-歸藏的AI工具箱,20260612,
https://mp.weixin.qq.com/s?__biz=MzU0MDk3NTUxMA==&mid=2247496930&idx=1&sn=e47cba823b7038047f933e1e3e487e7c,开源个 Skill｜彻底解决小红、小绿书配图难题,20260528,周四,微信-歸藏的AI工具箱,20260612,
https://mp.weixin.qq.com/s?__biz=MzU0MDk3NTUxMA==&mid=2247496504&idx=1&sn=a24aa3dcf5efbbdb78522f0e290ebc1d,我做了个 Skill：让 AI 帮你生成 Logo 和图标,20260416,周四,微信-歸藏的AI工具箱,20260612,
https://mp.weixin.qq.com/s?__biz=MzU0MDk3NTUxMA==&mid=2247496906&idx=1&sn=9e178a8cafa2b2d646b101c481823dd5,开源一个 Skill，让 AI 接管你屏幕边那张便签纸,20260522,周五,微信-歸藏的AI工具箱,20260612,
