序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/OJpxwg3VhiaEuak1iBIc4OAHnUb?from=from_copylink,OpenClaw与Hermes：源码里的 AI Agent 架构知识大复盘,OpenClaw与Hermes：源码里的 AI Agent 架构知识大复盘,20260530,OJpxwg3VhiaEuak1iBIc4OAHnUb,否
2,https://waytoagi.feishu.cn/wiki/XaVBwX2AqiL109kDoq4cCaQwnOc?from=from_copylink,让你拿到 offer 的 AI 产品经理核心技能丨Aakash Gupta,让你拿到 offer 的 AI 产品经理核心技能丨Aakash Gupta,20260530,XaVBwX2AqiL109kDoq4cCaQwnOc,否
3,https://waytoagi.feishu.cn/wiki/EXHlw0HXBicv2yktOybc8lK6nRg?from=from_copylink,我用 Codex 学了 12 个工具，这是我学到的,我用 Codex 学了 12 个工具，这是我学到的,20260530,EXHlw0HXBicv2yktOybc8lK6nRg,否
4,https://waytoagi.feishu.cn/wiki/Uos1w1gIViEnRikVYIicmaTanjd?from=from_copylink,Claude Dynamic Workflows解析— 迎接全新的 AI 编程生态,Claude Dynamic Workflows解析— 迎接全新的 AI 编程生态,20260530,Uos1w1gIViEnRikVYIicmaTanjd,否
5,https://waytoagi.feishu.cn/wiki/MkuswceHDiIvpUkWrBmchLe3ntS?from=from_copylink,5月开源模型总结，模型在逐渐减少。。。,5月开源模型总结，模型在逐渐减少。。。,20260531,MkuswceHDiIvpUkWrBmchLe3ntS,否
6,https://waytoagi.feishu.cn/wiki/T93Sw38aFiqOZBkYsT0cHYyinDg?from=from_copylink,一个 AI 创始人的虚荣心、装，和愚昧之巅｜42章经,一个 AI 创始人的虚荣心、装，和愚昧之巅｜42章经,20260531,T93Sw38aFiqOZBkYsT0cHYyinDg,否
7,https://waytoagi.feishu.cn/wiki/WiyRwYe6ViLEikkRVG6cVPK0ned?from=from_copylink,和科班程序员划了两小时重点：当vibe coding不够用时，我们要如何学习CS？,和科班程序员划了两小时重点：当vibe coding不够用时，我们要如何学习CS？,20260531,WiyRwYe6ViLEikkRVG6cVPK0ned,否
8,https://waytoagi.feishu.cn/wiki/XpnQwxf8oibOpFkvvinc2GzDnTj?from=from_copylink,第一次GEO公开课总结：从AI搜索逻辑到GEOFlow落地实战,第一次GEO公开课总结：从AI搜索逻辑到GEOFlow落地实战,20260531,XpnQwxf8oibOpFkvvinc2GzDnTj,否
9,https://waytoagi.feishu.cn/wiki/SzZqw3cv6iRl3wkRFKscf0ZKnae?from=from_copylink,5.24-5.31｜本周顶级 AI 论文,5.24-5.31｜本周顶级 AI 论文,20260531,SzZqw3cv6iRl3wkRFKscf0ZKnae,否
10,https://waytoagi.feishu.cn/wiki/JJwpwmqEfikdbzkN2f8c3prinVf?from=from_copylink,a16z 合伙人：今年你所能听到的关于AI最理性的观点丨Lenny's Podcast,a16z 合伙人：今年你所能听到的关于AI最理性的观点丨Lenny's Podcast,20260531,JJwpwmqEfikdbzkN2f8c3prinVf,否
11,https://waytoagi.feishu.cn/wiki/XQbfwBqECiHyilkakklc0zeFnId?from=from_copylink,六一宠粉节：氪200刀，乔帮主开源8个工具、5个精选Skill，统统免费！,六一宠粉节：氪200刀，乔帮主开源8个工具、5个精选Skill，统统免费！,20260601,XQbfwBqECiHyilkakklc0zeFnId,否
12,https://waytoagi.feishu.cn/wiki/QdybwWAyBid2XpkWIWRcrQ6qn0c?from=from_copylink,AI音乐周刊 W.A 030,AI音乐周刊 W.A 030,20260601,QdybwWAyBid2XpkWIWRcrQ6qn0c,否
13,https://waytoagi.feishu.cn/wiki/A7HVwRsBLiFCQxkoIe5cj3YJnbd?from=from_copylink,🤖 扣子3.0使用指南-更新版,🤖 扣子3.0使用指南-更新版,20260601,A7HVwRsBLiFCQxkoIe5cj3YJnbd,否
14,https://waytoagi.feishu.cn/wiki/XI8Mwf33Oi8KxJk5NA5cjgDInPd?from=from_copylink,志雄：Codex接入GeneralCompute教程,志雄：Codex接入GeneralCompute教程,20260601,XI8Mwf33Oi8KxJk5NA5cjgDInPd,否
15,https://waytoagi.feishu.cn/wiki/VJbww8R8CilqWrkpBjNcZAdvnfb?from=from_copylink,@Founder们，我们开源了给OPC的隐私协议MVP生成器 skill,@Founder们，我们开源了给OPC的隐私协议MVP生成器 skill,20260601,VJbww8R8CilqWrkpBjNcZAdvnfb,否
16,https://waytoagi.feishu.cn/wiki/UxEMwxxwkiOrbakLp3ic1m7znCb?from=from_copylink,一文讲透企业级 Harness Coding 架构落地实战！,一文讲透企业级 Harness Coding 架构落地实战！,20260601,UxEMwxxwkiOrbakLp3ic1m7znCb,否
