序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/Bj3UwRoFdiPVKLk8QTzcnl2znOg?from=from_copylink,最值得推荐的20个宝藏Skills，小众但真香,最值得推荐的20个宝藏Skills，小众但真香,20260506,Bj3UwRoFdiPVKLk8QTzcnl2znOg,否
2,https://waytoagi.feishu.cn/wiki/MEmjw0kiOidwBukfUSVcRJzGn5c?from=from_copylink,4.26-5.3｜本周 AI 论文精选,4.26-5.3｜本周 AI 论文精选,20260506,MEmjw0kiOidwBukfUSVcRJzGn5c,否
3,https://waytoagi.feishu.cn/wiki/DfNowZQOCiOLZOkPf56cNo78nNf?from=from_copylink,GPT-5.5 Instant：首个被标记「高能力」的即时模型,GPT-5.5 Instant：首个被标记「高能力」的即时模型,20260506,DfNowZQOCiOLZOkPf56cNo78nNf,否
4,https://waytoagi.feishu.cn/wiki/OqmxwW9KRiplYQkt3qbcxb5Fnhh?from=from_copylink,LLM 推理是如何工作的,LLM 推理是如何工作的,20260506,OqmxwW9KRiplYQkt3qbcxb5Fnhh,否
5,https://waytoagi.feishu.cn/wiki/CPPtwHEc2iCYH4kUzW2csOCZnjc?from=from_copylink,Stripe 数据负责人：Stripe 内部看到的 Agent 经济长什么样？丨Every,Stripe 数据负责人：Stripe 内部看到的 Agent 经济长什么样？丨Every,20260506,CPPtwHEc2iCYH4kUzW2csOCZnjc,否
6,https://waytoagi.feishu.cn/wiki/X4qawCUgpiArHoki96AcpAwOn0f?from=from_copylink,提升 Agent 应用活人感的工程化思考。,提升 Agent 应用活人感的工程化思考。,20260506,X4qawCUgpiArHoki96AcpAwOn0f,否
7,https://waytoagi.feishu.cn/wiki/IXyHwLAPJi0M6JkAiYkcxiOgnzb?from=from_copylink,GPT2： 表情包自由 x 礼崩乐坏版 x 老抽~风 x 太通人性了 x 社畜牛马狂 不喜,GPT2： 表情包自由 x 礼崩乐坏版 x 老抽~风 x 太通人性了 x 社畜牛马狂 不喜,20260506,IXyHwLAPJi0M6JkAiYkcxiOgnzb,否
8,https://waytoagi.feishu.cn/wiki/GyckwaCsCi0oNXk3VfDcJJlDnzg?from=from_copylink,为什么我们从 Claude Code 换到 Codex？丨Limitless,为什么我们从 Claude Code 换到 Codex？丨Limitless,20260507,GyckwaCsCi0oNXk3VfDcJJlDnzg,否
9,https://waytoagi.feishu.cn/wiki/DN3bwqhJkiCqL5kO6V3cbIDXnjb?from=from_copylink,Codex指令保姆级教程,Codex指令保姆级教程,20260507,DN3bwqhJkiCqL5kO6V3cbIDXnjb,否
10,https://waytoagi.feishu.cn/wiki/Wv1XwxscKigL6skNaakcrdm4nnd?from=from_copylink,Anthropic 兄妹 Dario Amodei 和 Daniela Amodei 最新对话：Claude 为什么一直限速？,Anthropic 兄妹 Dario Amodei 和 Daniela Amodei 最新对话：Claude 为什么一直限速？,20260507,Wv1XwxscKigL6skNaakcrdm4nnd,否
11,https://waytoagi.feishu.cn/wiki/XVYzwMxy9iFaxPkFrRNc8gu9nWd?from=from_copylink,云舒：写了上百个Skill工作效率起飞后，我总结了一套写好Skill的教程,云舒：写了上百个Skill工作效率起飞后，我总结了一套写好Skill的教程,20260507,XVYzwMxy9iFaxPkFrRNc8gu9nWd,否
