链接,标题,日期,星期,来源,精选日期,异常信息
https://mp.weixin.qq.com/s/49dxdMXEUoWIYlIh8fFqMQ,OpenClaw与Hermes：源码里的 AI Agent 架构知识大复盘,20260529,周五,微信-腾讯技术工程,20260530,
https://waytoagi.feishu.cn/wiki/OJpxwg3VhiaEuak1iBIc4OAHnUb,OpenClaw与Hermes：源码里的 AI Agent 架构知识大复盘,20260530,周六,飞书-通往AGI之路,20260530,
https://github.com/badlogic,badlogic (Mario Zechner) · GitHub,20260530,\,Web-GitHub,20260530,
https://github.com/tobi/qmd,"GitHub - tobi/qmd: mini cli search engine for your docs, knowledge bases, meeting notes, whatever. Tracking current sota approaches while being all local · GitHub",20260530,\,Web-GitHub,20260530,
https://lancedb.com,（LanceDB ）,20260530,\,,20260530,未提取来源信息
https://github.com/tencent-connect/openclaw-qqbot,（QQ Bot 插件 ）,20260530,\,Web-GitHub,20260530,"通用解析失败: HTTPSConnectionPool(host='github.com', port=443): Max retries exceeded with url: /tencent-connect/openclaw-qqbot (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))"
https://github.com/openclaw/openclaw,GitHub - openclaw/openclaw: Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 · GitHub,20260530,\,Web-GitHub,20260530,
https://github.com/larksuite/openclaw-lark,GitHub - larksuite/openclaw-lark: 飞书官方出品的 OpenClaw 飞书/Lark Channel 插件 · GitHub,20260530,\,Web-GitHub,20260530,
https://github.com/larksuite/cli,"GitHub - larksuite/cli: The official Lark/Feishu CLI tool, maintained by the larksuite team — built for humans and AI Agents. Covers core business domains including Messenger, Docs, Base, Sheets, Calendar, Mail, Tasks, Meetings, and more, with 200+ commands and 20+ AI Agent Skills. · GitHub",20260530,\,Web-GitHub,20260530,
https://github.com/NousResearch/hermes-agent,（Hermes Agent ）,20260530,\,Web-GitHub,20260530,"通用解析失败: HTTPSConnectionPool(host='github.com', port=443): Max retries exceeded with url: /NousResearch/hermes-agent (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))"
https://nousresearch.com,NOUS RESEARCH - Open Source AI,20260530,\,,20260530,未提取来源信息
https://github.com/Martian-Engineering/lossless-claw,GitHub - Martian-Engineering/lossless-claw: Lossless Claw — LCM (Lossless Context Management) plugin for OpenClaw · GitHub,20260530,\,Web-GitHub,20260530,
https://github.com/cloudwego/eino,（github.com/cloudwego/eino ）,20260530,\,Web-GitHub,20260530,"通用解析失败: HTTPSConnectionPool(host='github.com', port=443): Max retries exceeded with url: /cloudwego/eino (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))"
