序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/F9nZwhX8bi6VzbklljfcQ2AZn95?from=from_copylink,开源「洁癖.skill」，让你的Agent越用越聪明。,开源「洁癖.skill」，让你的Agent越用越聪明。,20260429,F9nZwhX8bi6VzbklljfcQ2AZn95,否
2,https://waytoagi.feishu.cn/wiki/NJBfwHTV8ibM90kwgSCcIF7pnFA?from=from_copylink,DeepSeek开眼了，更新多模态，实测过后发现。。。,DeepSeek开眼了，更新多模态，实测过后发现。。。,20260429,NJBfwHTV8ibM90kwgSCcIF7pnFA,否
3,https://waytoagi.feishu.cn/wiki/T0cPw5KVti45nukpHMEc32lcnue?from=from_copylink,2026，我们一定要多见面 ｜ WaytoAGI@2050 三周年现场,2026，我们一定要多见面 ｜ WaytoAGI@2050 三周年现场,20260429,T0cPw5KVti45nukpHMEc32lcnue,否
4,https://waytoagi.feishu.cn/wiki/WNz4wEwKIimuKHknVpLcIqMMnlg?from=from_copylink,硅谷创业者：90天做出月入1万美元AI生意，先别融资，去找一个无聊小众市场丨Silicon Valley Girl,硅谷创业者：90天做出月入1万美元AI生意，先别融资，去找一个无聊小众市场丨Silicon Valley Girl,20260429,WNz4wEwKIimuKHknVpLcIqMMnlg,否
5,https://waytoagi.feishu.cn/wiki/IlhMwVhmxiClMnk06ZncqJRtnUd?from=from_copylink,Anthropic 的 PM，是怎么工作的,Anthropic 的 PM，是怎么工作的,20260429,IlhMwVhmxiClMnk06ZncqJRtnUd,否
6,https://waytoagi.feishu.cn/wiki/FZpowIhfqiHbFLkdvjzcmLnhnQf?from=from_copylink,当我用Codex做PPT，这可能是目前最好的解法之一。,当我用Codex做PPT，这可能是目前最好的解法之一。,20260429,FZpowIhfqiHbFLkdvjzcmLnhnQf,否
7,https://waytoagi.feishu.cn/wiki/CNwfwuWqci6nQpkOzNCcCwYNnwh?from=from_copylink,2026 年，在 AI Agents 里该学什么、该构建什么、又该跳过什么,2026 年，在 AI Agents 里该学什么、该构建什么、又该跳过什么,20260430,CNwfwuWqci6nQpkOzNCcCwYNnwh,否
8,https://waytoagi.feishu.cn/wiki/IFqawg1BtiKisbkLgkFczX4Anue?from=from_copylink,解读DeepSeek最新多模态技术报告，要用视觉基本单元思考，看这一篇就够了,解读DeepSeek最新多模态技术报告，要用视觉基本单元思考，看这一篇就够了,20260430,IFqawg1BtiKisbkLgkFczX4Anue,否
9,https://waytoagi.feishu.cn/wiki/OQwFwtXWkimQ5nkqUMzcRvtMnYd?from=from_copylink,4月模型汇总，心心念念的DeepSeek开了，国内头部模型比御三家还差多少？,4月模型汇总，心心念念的DeepSeek开了，国内头部模型比御三家还差多少？,20260430,OQwFwtXWkimQ5nkqUMzcRvtMnYd,否
10,https://waytoagi.feishu.cn/wiki/VPHUwQiuBirNWBku6D9ctIGinrc?from=from_copylink,20 个 Claude 提示词，把 20 美元订阅真正用成你的个人助理、编辑、教练和分析师,20 个 Claude 提示词，把 20 美元订阅真正用成你的个人助理、编辑、教练和分析师,20260430,VPHUwQiuBirNWBku6D9ctIGinrc,否
