序号,URL,标题,链接文字,精选日期,doc_token,外部链接
11,https://waytoagi.feishu.cn/wiki/ZDe7w4avZi9lzskjl9Pc6CY5nhf?from=from_copylink,Box CEO：未来 SaaS 的用户，可能不再是人，而是成千上万个Agent丨a16z,Box CEO：未来 SaaS 的用户，可能不再是人，而是成千上万个Agent丨a16z,20260430,ZDe7w4avZi9lzskjl9Pc6CY5nhf,否
12,https://waytoagi.feishu.cn/wiki/NYXKwJQEpirFc6krL4Jc5wGdn6g?from=from_copylink,Karpathy 最新访谈：Vibe Coding 只是开始，真正重要的是 Agentic Engineering,Karpathy 最新访谈：Vibe Coding 只是开始，真正重要的是 Agentic Engineering,20260430,NYXKwJQEpirFc6krL4Jc5wGdn6g,否
13,https://waytoagi.feishu.cn/wiki/R0cmw0zdbiZH2tkBIXSccMYAnK2?from=from_copylink,八两：实测 ChatGPT 生成 PSD：能用，但别急着开除设计师,八两：实测 ChatGPT 生成 PSD：能用，但别急着开除设计师,20260430,R0cmw0zdbiZH2tkBIXSccMYAnK2,否
14,https://waytoagi.feishu.cn/wiki/Bj3UwRoFdiPVKLk8QTzcnl2znOg?from=from_copylink,最值得推荐的20个宝藏Skills，小众但真香,最值得推荐的20个宝藏Skills，小众但真香,20260506,Bj3UwRoFdiPVKLk8QTzcnl2znOg,否
15,https://waytoagi.feishu.cn/wiki/MEmjw0kiOidwBukfUSVcRJzGn5c?from=from_copylink,4.26-5.3｜本周 AI 论文精选,4.26-5.3｜本周 AI 论文精选,20260506,MEmjw0kiOidwBukfUSVcRJzGn5c,否
16,https://waytoagi.feishu.cn/wiki/DfNowZQOCiOLZOkPf56cNo78nNf?from=from_copylink,GPT-5.5 Instant：首个被标记「高能力」的即时模型,GPT-5.5 Instant：首个被标记「高能力」的即时模型,20260506,DfNowZQOCiOLZOkPf56cNo78nNf,否
17,https://waytoagi.feishu.cn/wiki/OqmxwW9KRiplYQkt3qbcxb5Fnhh?from=from_copylink,LLM 推理是如何工作的,LLM 推理是如何工作的,20260506,OqmxwW9KRiplYQkt3qbcxb5Fnhh,否
18,https://waytoagi.feishu.cn/wiki/CPPtwHEc2iCYH4kUzW2csOCZnjc?from=from_copylink,Stripe 数据负责人：Stripe 内部看到的 Agent 经济长什么样？丨Every,Stripe 数据负责人：Stripe 内部看到的 Agent 经济长什么样？丨Every,20260506,CPPtwHEc2iCYH4kUzW2csOCZnjc,否
19,https://waytoagi.feishu.cn/wiki/X4qawCUgpiArHoki96AcpAwOn0f?from=from_copylink,提升 Agent 应用活人感的工程化思考。,提升 Agent 应用活人感的工程化思考。,20260506,X4qawCUgpiArHoki96AcpAwOn0f,否
20,https://waytoagi.feishu.cn/wiki/IXyHwLAPJi0M6JkAiYkcxiOgnzb?from=from_copylink,GPT2： 表情包自由 x 礼崩乐坏版 x 老抽~风 x 太通人性了 x 社畜牛马狂 不喜,GPT2： 表情包自由 x 礼崩乐坏版 x 老抽~风 x 太通人性了 x 社畜牛马狂 不喜,20260506,IXyHwLAPJi0M6JkAiYkcxiOgnzb,否
