序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/Nl2Xwa1vSifcCzkYMz2c4EitnDd?from=from_copylink,你不知道的 AI Coding：非技术人的上手、场景与实战,你不知道的 AI Coding：非技术人的上手、场景与实战,20260426,Nl2Xwa1vSifcCzkYMz2c4EitnDd,否
2,https://waytoagi.feishu.cn/wiki/C01kwFKSEiRRZkkYGXVc2XIHnwd?from=from_copylink,为 Agent 设计产品【译】,为 Agent 设计产品【译】,20260426,C01kwFKSEiRRZkkYGXVc2XIHnwd,否
3,https://waytoagi.feishu.cn/wiki/KuLiwf9cAiobk7kZjhechzaYnOb?from=from_copylink,记忆，是 Agent 基建｜对话 Calvin@Vida,记忆，是 Agent 基建｜对话 Calvin@Vida,20260426,KuLiwf9cAiobk7kZjhechzaYnOb,否
4,https://waytoagi.feishu.cn/wiki/Jw0xwNk0EiFkqWk75p9clxfSnBc?from=from_copylink,AI音乐周刊 W.A 025,AI音乐周刊 W.A 025,20260427,Jw0xwNk0EiFkqWk75p9clxfSnBc,否
5,https://waytoagi.feishu.cn/wiki/PYyKweMx0ikbK2kqILrcuCy1nhd?from=from_copylink,4.19-4.26｜本周 AI 论文精选,4.19-4.26｜本周 AI 论文精选,20260427,PYyKweMx0ikbK2kqILrcuCy1nhd,否
6,https://waytoagi.feishu.cn/wiki/Fq5lw2ZDVi0oNeku7ZCcaMk5nxb?from=from_copylink,用 Subagents 保持 Claude Code 上下文干净（译）,用 Subagents 保持 Claude Code 上下文干净（译）,20260427,Fq5lw2ZDVi0oNeku7ZCcaMk5nxb,否
7,https://waytoagi.feishu.cn/wiki/LCSHw5fXqi0UbIkfFXec4H7OnQc?from=from_copylink,AI Engineer 学习路径（译）,AI Engineer 学习路径（译）,20260427,LCSHw5fXqi0UbIkfFXec4H7OnQc,否
8,https://waytoagi.feishu.cn/wiki/ZSZCwzGsEigPFBkpqSmcvENunlb?from=from_copylink,喝点VC｜a16z联合创始人：真正危险的不是投错项目，而是错过下一个Google,喝点VC｜a16z联合创始人：真正危险的不是投错项目，而是错过下一个Google,20260427,ZSZCwzGsEigPFBkpqSmcvENunlb,否
9,https://waytoagi.feishu.cn/wiki/Kv8xwMDDGiGKkvkhcOJcUGeSnCd?from=from_copylink,YC CEO：如何让 Claude 为你的 AI 工程团队编写代码？丨Y Combinator,YC CEO：如何让 Claude 为你的 AI 工程团队编写代码？丨Y Combinator,20260427,Kv8xwMDDGiGKkvkhcOJcUGeSnCd,否
