链接,标题,日期,星期,来源,精选日期,异常信息
https://mp.weixin.qq.com/s/349YFYaydMgrBbg5GcPTRQ,5月开源模型总结，模型在逐渐减少。。。,20260531,周日,微信-刘聪NLP,20260531,
https://waytoagi.feishu.cn/wiki/MkuswceHDiIvpUkWrBmchLe3ntS,5月开源模型总结，模型在逐渐减少。。。,20260531,周日,飞书-通往AGI之路,20260531,
https://mp.weixin.qq.com/s?__biz=Mzg5MTU1NTE1OQ==&mid=2247499710&idx=1&sn=8f1a205754c695f0b48fa22a0024f35a,谷歌开源Gemma4 MTP 草稿模型，推理速度提升3倍，用了哪些技术？,20260506,周三,微信-刘聪NLP,20260531,
https://mp.weixin.qq.com/s/hxdkY7W5SR21pzX8YjZWuw,一个 AI 创始人的虚荣心、装，和愚昧之巅｜42章经,20260531,周日,微信-42章经,20260531,
https://waytoagi.feishu.cn/wiki/T93Sw38aFiqOZBkYsT0cHYyinDg,一个 AI 创始人的虚荣心、装，和愚昧之巅｜42章经,20260531,周日,飞书-通往AGI之路,20260531,
https://waytoagi.feishu.cn/wiki/WiyRwYe6ViLEikkRVG6cVPK0ned,和科班程序员划了两小时重点：当vibe coding不够用时，我们要如何学习CS？,20260531,周日,飞书-通往AGI之路,20260531,
https://csdiy.wiki/CS%E5%AD%A6%E4%B9%A0%E8%A7%84%E5%88%92,一个仅供参考的CS学习规划 - CS自学指南,20260531,\,,20260531,未提取来源信息
https://waytoagi.feishu.cn/wiki/Q8I1w2UpiixGTGkkzBwceP3Wn9b,Yitong：普通人的AI系统学习指北（2026.04）,20260418,周六,飞书-通往AGI之路,20260531,
https://mp.weixin.qq.com/s/ldxhLglQ4xv7Dj4ugRX3QA,和科班程序员划了两小时重点：当vibe coding不够用时，我们要如何学习软件工程？,20260531,周日,微信-苏氨酸suansuan的笔记本,20260531,
https://missing.csail.mit.edu,The Missing Semester of Your CS Education,20260531,\,,20260531,未提取来源信息
https://bugstack.cn/md/road-map/road-map.html,编程路书 | 小傅哥 bugstack 虫洞栈,20240204,周日,Web_OT,20260531,
https://www.programmercarl.com,代码随想录-全网最全算法数据结构刷题学习路线|图文+视频教程|免费开源,20260531,\,,20260531,未提取来源信息
https://csdiy.wiki,CS自学指南,20260531,\,,20260531,未提取来源信息
https://www.douban.com/group/topic/316068246,前端零基础转码上岸top大厂经验分享（4k字长文！）,20250103,周五,Web_OT,20260531,
https://www.douban.com/group/topic/303221274,重读CS本科我会怎么做（也许也适合转码）,20240316,周六,Web_OT,20260531,
https://mp.weixin.qq.com/s/8Lyrzux7WacHjiHx_P9Fbg,第一次GEO公开课总结：从AI搜索逻辑到GEOFlow落地实战,20260531,周日,微信-姚金刚,20260531,
https://waytoagi.feishu.cn/wiki/XpnQwxf8oibOpFkvvinc2GzDnTj,第一次GEO公开课总结：从AI搜索逻辑到GEOFlow落地实战,20260531,周日,飞书-通往AGI之路,20260531,
https://github.com/yaojingang/GEOFlow,"GitHub - yaojingang/GEOFlow: Open-source GEO content engineering and multi-site distribution system with AI tasks, RAG/semantic chunking, analytics, GEOFlow Agent and WordPress target publishing. · GitHub",20260531,\,Web-GitHub,20260531,
https://github.com/yaojingang/yao-meta-skill,"GitHub - yaojingang/yao-meta-skill: YAO = Yielding AI Outcomes. A rigorous engineering, evaluation, governance, and portability system for reusable agent skills. · GitHub",20260531,\,Web-GitHub,20260531,
https://github.com/yaojingang/yao-geo-skills,GitHub - yaojingang/yao-geo-skills: 面向 GEO 内容与工作流的 Skill 开源合集，持续更新中。 · GitHub,20260531,\,Web-GitHub,20260531,
https://github.com/yaojingang/geo-citation-lab/tree/main/02-geo-aeo-ai-search-papers,geo-citation-lab/02-geo-aeo-ai-search-papers at main · yaojingang/geo-citation-lab · GitHub,20260531,\,Web-GitHub,20260531,
https://mp.weixin.qq.com/s?__biz=MjM5MDA0NzQ0MA==&mid=2654212206&idx=1&sn=2837c4299ac59bc0f5f1992070a081af,GEO到底是什么？,20260316,周一,微信-姚金刚,20260531,
https://mp.weixin.qq.com/s?__biz=MjM5MDA0NzQ0MA==&mid=2654212222&idx=1&sn=845b34310b4bec772aadd21204f14db1,从SEO到GEO，从流量到Agent，真正的变化才刚刚开始,20260412,周日,微信-姚金刚,20260531,
https://yaojingang.feishu.cn/docx/Jv85dXAeZoKJ7exJi4Yc4Edrnhf,《GEO白皮书：AI搜索时代的品牌增长新范式》,20250817,周日,飞书OT分享,20260531,
https://yaojingang.feishu.cn/wiki/Otqtw0HFbiNeCMkjKalcFkoJnpf,《GEO红皮书：生成式引擎优化的伦理边界、作弊风险与治理手册》,20260507,周四,飞书OT分享,20260531,
https://yaojingang.feishu.cn/wiki/MwkiwPDqCiHGwVk2uOtcNUlrnnf,《GEO蓝皮书：企业与GEO服务商合作评估指南》,20260512,周二,飞书OT分享,20260531,
https://yaojingang.feishu.cn/wiki/YbMLwkChmiktbskRoHZcFixBnxb,《AI营销：从SEO到GEO》提示词合集,20251019,周日,飞书OT分享,20260531,
https://waytoagi.feishu.cn/wiki/SzZqw3cv6iRl3wkRFKscf0ZKnae,5.24-5.31｜本周顶级 AI 论文,20260531,周日,飞书-通往AGI之路,20260531,
https://x.com/dair_ai/status/2061104052818108476,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.23904,SkillOpt: Executive Strategy for Self-Evolving Agent Skills,20260525,周一,Web-arxiv,20260531,
https://x.com/omarsar0/status/2058936160291004483,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.22502,Compiling Agentic Workflows into LLM Weights: Near-Frontier Quality at Two Orders of Magnitude Less Cost,20260521,周四,Web-arxiv,20260531,
https://x.com/dair_ai/status/2057846601843146760,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.28655,AutoScientists: Self-Organizing Agent Teams for Long-Running Scientific Experimentation,20260527,周三,Web-arxiv,20260531,
https://x.com/dair_ai/status/2060028833080987668,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.26099,Do Language Models Need Sleep? Offline Recurrence for Improved Online Inference,20260527,周三,Web-arxiv,20260531,
https://x.com/dair_ai/status/2059333792775745619,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.22166,"Adapting the Interface, Not the Model: Runtime Harness Adaptation for Deterministic LLM Agents",20260527,周三,Web-arxiv,20260531,
https://x.com/omarsar0/status/2058208914148389083,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.23071,The Efficiency Frontier: A Unified Framework for Cost-Performance Optimization in LLM Context Management,20260521,周四,Web-arxiv,20260531,
https://x.com/dair_ai/status/2058948732658626789,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.22681,Forecasting Scientific Progress with Artificial Intelligence,20260521,周四,Web-arxiv,20260531,
https://x.com/dair_ai/status/2058215140789797204,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.26302,Your Agents Are Aging Too: Agent Lifespan Engineering for Deployed Systems,20260525,周一,Web-arxiv,20260531,
https://x.com/omarsar0/status/2059689897523642510,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.21516,Harnesses for Inference-Time Alignment over Execution Trajectories,20260515,周五,Web-arxiv,20260531,
https://x.com/dair_ai/status/2059691141302542445,JavaScript is not available.,20260531,\,Web-X,20260531,
https://arxiv.org/abs/2605.22391,Epicure: Navigating the Emergent Geometry of Food Ingredient Embeddings,20260521,周四,Web-arxiv,20260531,
https://mp.weixin.qq.com/s/VElMTitgIcyLhi-1K3E-XQ,a16z 合伙人：今年你所能听到的关于AI最理性的观点丨Lenny's Podcast,20260531,周日,微信-晚点再听LaterCast,20260531,
https://waytoagi.feishu.cn/wiki/JJwpwmqEfikdbzkN2f8c3prinVf,a16z 合伙人：今年你所能听到的关于AI最理性的观点丨Lenny's Podcast,20260531,周日,飞书-通往AGI之路,20260531,
https://www.youtube.com/watch?v=BD3vLtWhT5A,A rational conversation on where AI is actually going | Benedict Evans - YouTube,20260531,周日,Web-Youtube,20260531,
