序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/N8O0w2BG7izfxTkJowwc5gsUn7d?from=from_copylink,开源「鲁班」Skill，Claude Fable 5下线前我最想跑通的工作流！,开源「鲁班」Skill，Claude Fable 5下线前我最想跑通的工作流！,20260611,N8O0w2BG7izfxTkJowwc5gsUn7d,否
2,https://waytoagi.feishu.cn/wiki/VN1owci5tip8F9k1J9xc2NAinVe?from=from_copylink,一个令人惊艳的开源项目，Agent Skill 开始自进化了？,一个令人惊艳的开源项目，Agent Skill 开始自进化了？,20260611,VN1owci5tip8F9k1J9xc2NAinVe,否
3,https://waytoagi.feishu.cn/wiki/HqJtwX5hmijsKVkk6QYccXHynWh?from=from_copylink,从Claude Fable 5系统提示词里，我偷师了5条写Prompt的硬规则,从Claude Fable 5系统提示词里，我偷师了5条写Prompt的硬规则,20260611,HqJtwX5hmijsKVkk6QYccXHynWh,否
4,https://waytoagi.feishu.cn/wiki/NepcwPlsriYL3tkNmtFc237gn1e?from=from_copylink,一个命令，让 Claude Code 拥有永久记忆,一个命令，让 Claude Code 拥有永久记忆,20260611,NepcwPlsriYL3tkNmtFc237gn1e,否
5,https://waytoagi.feishu.cn/wiki/PwOUwV8Uui9Awsk5f7NcVX35nNb?from=from_copylink,Anthropic工程师：我们日常如何使​​用Claude Code丨Claude,Anthropic工程师：我们日常如何使​​用Claude Code丨Claude,20260611,PwOUwV8Uui9Awsk5f7NcVX35nNb,否
6,https://waytoagi.feishu.cn/wiki/FyQVwVT01i9udpkIn7lcxPsKnKe?from=from_copylink,一个零基础创建Skill的方法,一个零基础创建Skill的方法,20260612,FyQVwVT01i9udpkIn7lcxPsKnKe,否
7,https://waytoagi.feishu.cn/wiki/KuQcwGqFCi9fOXkJVrEcUwAsn8c?from=from_copylink,靠 11 个 SEO 大神 + Grok 任务，每天 5 分钟追完一手 SEO 情报,靠 11 个 SEO 大神 + Grok 任务，每天 5 分钟追完一手 SEO 情报,20260612,KuQcwGqFCi9fOXkJVrEcUwAsn8c,否
8,https://waytoagi.feishu.cn/wiki/XJfVwvqXVidRsHkhwYEcEqV6nSg?from=from_copylink,大多数用户从未用过的 40 个 Claude 技巧和快捷方式,大多数用户从未用过的 40 个 Claude 技巧和快捷方式,20260612,XJfVwvqXVidRsHkhwYEcEqV6nSg,否
9,https://waytoagi.feishu.cn/wiki/BCS6wL5uXiJEFFktka9c0ev2n5g?from=from_copylink,YouMind 1.0 正式发布｜大胆创作,YouMind 1.0 正式发布｜大胆创作,20260612,BCS6wL5uXiJEFFktka9c0ev2n5g,否
10,https://waytoagi.feishu.cn/wiki/Xy4owLxvIi69wzkix2ocoaj7nWd?from=from_copylink,万字长文：做了些爆款 Skills 以后，我对 Skills 的看法,万字长文：做了些爆款 Skills 以后，我对 Skills 的看法,20260612,Xy4owLxvIi69wzkix2ocoaj7nWd,否
11,https://waytoagi.feishu.cn/wiki/XajBwea4MikFi1kDRPAcst1unzb?from=from_copylink,Claude Code一周年复盘：工程师开始指挥Agent队伍丨Claude,Claude Code一周年复盘：工程师开始指挥Agent队伍丨Claude,20260612,XajBwea4MikFi1kDRPAcst1unzb,否
