序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/FyQVwVT01i9udpkIn7lcxPsKnKe?from=from_copylink,一个零基础创建Skill的方法,一个零基础创建Skill的方法,20260612,FyQVwVT01i9udpkIn7lcxPsKnKe,否
2,https://waytoagi.feishu.cn/wiki/KuQcwGqFCi9fOXkJVrEcUwAsn8c?from=from_copylink,靠 11 个 SEO 大神 + Grok 任务，每天 5 分钟追完一手 SEO 情报,靠 11 个 SEO 大神 + Grok 任务，每天 5 分钟追完一手 SEO 情报,20260612,KuQcwGqFCi9fOXkJVrEcUwAsn8c,否
3,https://waytoagi.feishu.cn/wiki/XJfVwvqXVidRsHkhwYEcEqV6nSg?from=from_copylink,大多数用户从未用过的 40 个 Claude 技巧和快捷方式,大多数用户从未用过的 40 个 Claude 技巧和快捷方式,20260612,XJfVwvqXVidRsHkhwYEcEqV6nSg,否
4,https://waytoagi.feishu.cn/wiki/BCS6wL5uXiJEFFktka9c0ev2n5g?from=from_copylink,YouMind 1.0 正式发布｜大胆创作,YouMind 1.0 正式发布｜大胆创作,20260612,BCS6wL5uXiJEFFktka9c0ev2n5g,否
5,https://waytoagi.feishu.cn/wiki/Xy4owLxvIi69wzkix2ocoaj7nWd?from=from_copylink,万字长文：做了些爆款 Skills 以后，我对 Skills 的看法,万字长文：做了些爆款 Skills 以后，我对 Skills 的看法,20260612,Xy4owLxvIi69wzkix2ocoaj7nWd,否
6,https://waytoagi.feishu.cn/wiki/XajBwea4MikFi1kDRPAcst1unzb?from=from_copylink,Claude Code一周年复盘：工程师开始指挥Agent队伍丨Claude,Claude Code一周年复盘：工程师开始指挥Agent队伍丨Claude,20260612,XajBwea4MikFi1kDRPAcst1unzb,否
7,https://waytoagi.feishu.cn/wiki/TDZOwuNsEiPTrtklVidcgjDInTh?from=from_copylink,爱海贼的无处不在：2026世界杯Skills，一个程序员决定用自己的方式看世界杯,爱海贼的无处不在：2026世界杯Skills，一个程序员决定用自己的方式看世界杯,20260613,TDZOwuNsEiPTrtklVidcgjDInTh,否
8,https://waytoagi.feishu.cn/wiki/JEZ7wtZdHiaXHRkfGAQcwyjhnYd?from=from_copylink,Codex一直重连？先别急着卸载重装，给它几分钟,Codex一直重连？先别急着卸载重装，给它几分钟,20260613,JEZ7wtZdHiaXHRkfGAQcwyjhnYd,否
9,https://waytoagi.feishu.cn/wiki/Y3CFw8pMTi8oCjkdrj4cXLRQnCe?from=from_copylink,Goal + Loop + Workflows 三大利器,Goal + Loop + Workflows 三大利器,20260613,Y3CFw8pMTi8oCjkdrj4cXLRQnCe,否
10,https://waytoagi.feishu.cn/wiki/PKcBwXS5XiY5OCkpzuWcK9q1ngf?from=from_copylink,如何写出工业级 Skill ,如何写出工业级 Skill ,20260613,PKcBwXS5XiY5OCkpzuWcK9q1ngf,否
11,https://waytoagi.feishu.cn/wiki/ErSwwCYlci6UcakvkVqc4QR3nSe?from=from_copylink,如何从零构建自己的 LLM：GPT 和 Claude 背后的 5 阶段完整流程,如何从零构建自己的 LLM：GPT 和 Claude 背后的 5 阶段完整流程,20260613,ErSwwCYlci6UcakvkVqc4QR3nSe,否
12,https://waytoagi.feishu.cn/wiki/DXNPwtLc1i9hzFkVmLFctALAnoh?from=from_copylink,AI网站数据 2026年05月,AI网站数据 2026年05月,20260613,DXNPwtLc1i9hzFkVmLFctALAnoh,否
13,https://waytoagi.feishu.cn/wiki/L8TlwP62ri7HOqkFBhMcxnT4nrc?from=from_copylink,Brex CEO：当CEO先被AI改变，公司才会变丨YC,Brex CEO：当CEO先被AI改变，公司才会变丨YC,20260613,L8TlwP62ri7HOqkFBhMcxnT4nrc,否
14,https://waytoagi.feishu.cn/wiki/ROh2wxuHAiW3B9kPzV8cuhNHnfd?from=from_copylink,Coding Agent 下半场：从个人提效到组织级研发体系,Coding Agent 下半场：从个人提效到组织级研发体系,20260614,ROh2wxuHAiW3B9kPzV8cuhNHnfd,否
15,https://waytoagi.feishu.cn/wiki/LNNiwQKbUimxhEkRkMtcMi6yn2b?from=from_copylink,自主长时间运行的Coding Agent,自主长时间运行的Coding Agent,20260614,LNNiwQKbUimxhEkRkMtcMi6yn2b,否
16,https://waytoagi.feishu.cn/wiki/HZVVwQn1NiVtX2kFgT3c5pQQnwe?from=from_copylink,AARRR：AI 增长是每个人的基本能力,AARRR：AI 增长是每个人的基本能力,20260614,HZVVwQn1NiVtX2kFgT3c5pQQnwe,否
17,https://waytoagi.feishu.cn/wiki/GYz3wt1BQilXX1kJwT1cdIxonaf?from=from_copylink,干掉NotebookLM！这个开源项目+Obsidian，补齐了本地AI知识库的最后一块拼图,干掉NotebookLM！这个开源项目+Obsidian，补齐了本地AI知识库的最后一块拼图,20260614,GYz3wt1BQilXX1kJwT1cdIxonaf,否
18,https://waytoagi.feishu.cn/wiki/RN9yw5xWki84zLkiSb3c34Y6nLc?from=from_copylink,6.7- 6.14｜本周顶尖 AI 论文,6.7- 6.14｜本周顶尖 AI 论文,20260614,RN9yw5xWki84zLkiSb3c34Y6nLc,否
19,https://waytoagi.feishu.cn/wiki/WNAVwAl2oiygzckNd1vceb2tnzd?from=from_copylink,Zynga创始人：为什么大多数产品经理的直觉是对的，但想法却是错的？丨Lenny,Zynga创始人：为什么大多数产品经理的直觉是对的，但想法却是错的？丨Lenny,20260614,WNAVwAl2oiygzckNd1vceb2tnzd,否
