序号,URL,标题,链接文字,精选日期,doc_token,外部链接
1,https://waytoagi.feishu.cn/wiki/K1S8wd2PYiIcflkDRxZcVMWZnBe?from=from_copylink,用ChatGPT管项目，让Codex只做Ticket,用ChatGPT管项目，让Codex只做Ticket,20260610,K1S8wd2PYiIcflkDRxZcVMWZnBe,否
2,https://waytoagi.feishu.cn/wiki/FzS1wTuh0iLy7ukYFlScWUx9nVb?from=from_copylink,跑分第一的Claude Fable 5来了，但我不确定你需要它,跑分第一的Claude Fable 5来了，但我不确定你需要它,20260610,FzS1wTuh0iLy7ukYFlScWUx9nVb,否
3,https://waytoagi.feishu.cn/wiki/T8HUwsqNjiGY4jk64WIcS0YGnYb?from=from_copylink,循环：2026年每位AI工程师都需要了解的内容,循环：2026年每位AI工程师都需要了解的内容,20260610,T8HUwsqNjiGY4jk64WIcS0YGnYb,否
4,https://waytoagi.feishu.cn/wiki/Y0pywNLcSiiSRak7Br5cnS5inRc?from=from_copylink,Google 发布实时同声翻译模型 70+语言边听边译，不用等说完,Google 发布实时同声翻译模型 70+语言边听边译，不用等说完,20260610,Y0pywNLcSiiSRak7Br5cnS5inRc,否
5,https://waytoagi.feishu.cn/wiki/S03RwI2ALiJfiKkfNhaccPtCnmc?from=from_copylink,一行命令，让所有Agent共享大脑,一行命令，让所有Agent共享大脑,20260610,S03RwI2ALiJfiKkfNhaccPtCnmc,否
6,https://waytoagi.feishu.cn/wiki/RNPqwZBariXVC0kRBJmcIiQFnph?from=from_copylink,Claude Code：基础用法之外，Agent要进团队工作流丨Claude,Claude Code：基础用法之外，Agent要进团队工作流丨Claude,20260610,RNPqwZBariXVC0kRBJmcIiQFnph,否
7,https://waytoagi.feishu.cn/wiki/N8O0w2BG7izfxTkJowwc5gsUn7d?from=from_copylink,开源「鲁班」Skill，Claude Fable 5下线前我最想跑通的工作流！,开源「鲁班」Skill，Claude Fable 5下线前我最想跑通的工作流！,20260611,N8O0w2BG7izfxTkJowwc5gsUn7d,否
8,https://waytoagi.feishu.cn/wiki/VN1owci5tip8F9k1J9xc2NAinVe?from=from_copylink,一个令人惊艳的开源项目，Agent Skill 开始自进化了？,一个令人惊艳的开源项目，Agent Skill 开始自进化了？,20260611,VN1owci5tip8F9k1J9xc2NAinVe,否
9,https://waytoagi.feishu.cn/wiki/HqJtwX5hmijsKVkk6QYccXHynWh?from=from_copylink,从Claude Fable 5系统提示词里，我偷师了5条写Prompt的硬规则,从Claude Fable 5系统提示词里，我偷师了5条写Prompt的硬规则,20260611,HqJtwX5hmijsKVkk6QYccXHynWh,否
10,https://waytoagi.feishu.cn/wiki/NepcwPlsriYL3tkNmtFc237gn1e?from=from_copylink,一个命令，让 Claude Code 拥有永久记忆,一个命令，让 Claude Code 拥有永久记忆,20260611,NepcwPlsriYL3tkNmtFc237gn1e,否
11,https://waytoagi.feishu.cn/wiki/PwOUwV8Uui9Awsk5f7NcVX35nNb?from=from_copylink,Anthropic工程师：我们日常如何使​​用Claude Code丨Claude,Anthropic工程师：我们日常如何使​​用Claude Code丨Claude,20260611,PwOUwV8Uui9Awsk5f7NcVX35nNb,否
12,https://waytoagi.feishu.cn/wiki/Xy4owLxvIi69wzkix2ocoaj7nWd?from=from_copylink,万字长文：做了些爆款 Skills 以后，我对 Skills 的看法,万字长文：做了些爆款 Skills 以后，我对 Skills 的看法,20260612,Xy4owLxvIi69wzkix2ocoaj7nWd,否
