链接,标题,日期,星期,来源,精选日期,异常信息
https://waytoagi.feishu.cn/wiki/TDZOwuNsEiPTrtklVidcgjDInTh,爱海贼的无处不在：2026世界杯Skills，一个程序员决定用自己的方式看世界杯,20260613,周六,飞书-通往AGI之路,20260613,
https://mp.weixin.qq.com/s/rAlhxcjcS38Sr6-VYo-AbQ,2026世界杯Skills，一个程序员决定用自己的方式看世界杯,20260613,周六,微信-无处不在的技术,20260613,
https://github.com/wuchubuzai2018/haizei-worldcup-2026,"GitHub - wuchubuzai2018/haizei-worldcup-2026: 2026 美加墨世界杯数据Skills工具，能够获取世界杯48 支球队/赛程/比赛/球员/排名全量数据。零依赖纯 Node.js，结构化 JSON 输出，可作 OpenCode/Claude Code 的 AI Skill 使用，内置 12 个用户场景工作流。2026 FIFA World Cup data (48 teams, schedules, match details, lineups, statistics, FIFA rankings) . Works as an AI Skill for OpenCode/Claude Code with 12 user workflows. · GitHub",20260613,\,Web-GitHub,20260613,
https://www.skills.sh/wuchubuzai2018/haizei-worldcup-2026/haizei-worldcup-2026-skill,haizei-worldcup-2026-skill — wuchubuzai2018/haizei-worldcup-2026,20260613,\,,20260613,未提取来源信息
https://clawhub.ai/wuchubuzai2018/haizei-worldcup-2026-skill,Haizei Worldcup 2026 Skill (2026年美加墨足球世界杯Skill) — ClawHub,20260613,\,,20260613,未提取来源信息
https://waytoagi.feishu.cn/wiki/JEZ7wtZdHiaXHRkfGAQcwyjhnYd,Codex一直重连？先别急着卸载重装，给它几分钟,20260613,周六,飞书-通往AGI之路,20260613,
https://developers.openai.com/codex/config-basic,Config basics – Codex | OpenAI Developers,20260613,\,,20260613,未提取来源信息
https://developers.openai.com/codex/config-reference,Configuration Reference – Codex | OpenAI Developers,20260613,\,,20260613,未提取来源信息
https://developers.openai.com/codex/mcp,Model Context Protocol – Codex | OpenAI Developers,20260613,\,,20260613,未提取来源信息
https://x.com/PandaTalk8/status/2065714368071745710,"Mr Panda on X: ""https://t.co/LFKYEQkQVr"" / X",20260613,\,Web-X,20260613,
https://waytoagi.feishu.cn/wiki/Y3CFw8pMTi8oCjkdrj4cXLRQnCe,Goal + Loop + Workflows 三大利器,20260613,周六,飞书-通往AGI之路,20260613,
https://x.com/FakeMaidenMaker/status/2051111166416396713,"Ren on X: ""https://t.co/4iQsqwVrvK"" / X",20260613,\,Web-X,20260613,
https://waytoagi.feishu.cn/wiki/PKcBwXS5XiY5OCkpzuWcK9q1ngf,如何写出工业级 Skill ,20260613,周六,飞书-通往AGI之路,20260613,
https://claude.ai,Just a moment...,20260613,\,,20260613,未提取来源信息
https://waytoagi.feishu.cn/wiki/ErSwwCYlci6UcakvkVqc4QR3nSe,如何从零构建自己的 LLM：GPT 和 Claude 背后的 5 阶段完整流程,20260613,周六,飞书-通往AGI之路,20260613,
https://x.com/0xCodez/status/2058911661973454915,"Codez on X: ""https://t.co/BU4dtLFVI9"" / X",20260613,\,Web-X,20260613,
https://movez.substack.com,0xMovez's Substack | Substack,20260613,\,,20260613,未提取来源信息
https://waytoagi.feishu.cn/wiki/DXNPwtLc1i9hzFkVmLFctALAnoh,AI网站数据 2026年05月,20260613,周六,飞书-通往AGI之路,20260613,
https://mp.weixin.qq.com/s/EIvfQO1Dvwsc9iCbnAFxkQ,Brex CEO：当CEO先被AI改变，公司才会变丨YC,20260614,周日,微信-晚点再听LaterCast,20260613,
https://waytoagi.feishu.cn/wiki/L8TlwP62ri7HOqkFBhMcxnT4nrc,Brex CEO：当CEO先被AI改变，公司才会变丨YC,20260613,周六,飞书-通往AGI之路,20260613,
https://www.youtube.com/watch?v=mPAHvz8kW24,The Most AI-Pilled CEO We Know - YouTube,20260610,周三,Web-Youtube,20260613,
